# AEGIS V2 Universe Manifest — 2026-04-04 — Source: config/contracts.toml
symbol,exchange,sec_type,currency,leverage,sector
WDS,ASX,STK,AUD,1,Unknown
WEB,ASX,STK,AUD,1,Unknown
WES,ASX,STK,AUD,1,Retail
WHC,ASX,STK,AUD,1,Unknown
WOW,ASX,STK,AUD,1,Unknown
WPR,ASX,STK,AUD,1,Unknown
WTC,ASX,STK,AUD,1,Unknown
XRO,ASX,STK,AUD,1,Unknown
ISP,BVME,STK,EUR,1,Finance
STLAM,BVME,STK,EUR,1,Automotive
AD,EURONEXT,STK,EUR,1,Unknown
AI,EURONEXT,STK,EUR,1,Technology
AIR,EURONEXT,STK,EUR,1,Aerospace
AKZA,EURONEXT,STK,EUR,1,Unknown
ALO,EURONEXT,STK,EUR,1,Unknown
BESI,EURONEXT,STK,EUR,1,Unknown
BN,EURONEXT,STK,EUR,1,Consumer
BNP,EURONEXT,STK,EUR,1,Finance
CA,EURONEXT,STK,EUR,1,Retail
CAP,EURONEXT,STK,EUR,1,Unknown
CS,EURONEXT,STK,EUR,1,Unknown
DG,EURONEXT,STK,EUR,1,Industrial
DSY,EURONEXT,STK,EUR,1,Technology
EL,EURONEXT,STK,EUR,1,Luxury
ENGI,EURONEXT,STK,EUR,1,Unknown
ERF,EURONEXT,STK,EUR,1,Unknown
GLE,EURONEXT,STK,EUR,1,Unknown
HO,EURONEXT,STK,EUR,1,Unknown
IMCD,EURONEXT,STK,EUR,1,Unknown
KER,EURONEXT,STK,EUR,1,Luxury
LIGHT,EURONEXT,STK,EUR,1,Unknown
LR,EURONEXT,STK,EUR,1,Unknown
MC,EURONEXT,STK,EUR,1,Luxury
ML,EURONEXT,STK,EUR,1,Unknown
OR,EURONEXT,STK,EUR,1,Consumer
PRX,EURONEXT,STK,EUR,1,Unknown
PUB,EURONEXT,STK,EUR,1,Unknown
RAND,EURONEXT,STK,EUR,1,Unknown
REN,EURONEXT,STK,EUR,1,Unknown
RI,EURONEXT,STK,EUR,1,Consumer
RMS,EURONEXT,STK,EUR,1,Luxury
RNO,EURONEXT,STK,EUR,1,Unknown
SAF,EURONEXT,STK,EUR,1,Unknown
SGO,EURONEXT,STK,EUR,1,Industrial
STM,EURONEXT,STK,EUR,1,Semiconductors
SU,EURONEXT,STK,EUR,1,Industrial
TEP,EURONEXT,STK,EUR,1,Unknown
TTE,EURONEXT,STK,EUR,1,Energy
UNA,EURONEXT,STK,EUR,1,Unknown
URW,EURONEXT,STK,EUR,1,Unknown
VIE,EURONEXT,STK,EUR,1,Unknown
VIV,EURONEXT,STK,EUR,1,Entertainment
WKL,EURONEXT,STK,EUR,1,Unknown
WLN,EURONEXT,STK,EUR,1,Unknown
NOKIA,HEX,STK,EUR,1,Technology
0001,HKEX,STK,HKD,1,Conglomerate
0002,HKEX,STK,HKD,1,Utilities
0003,HKEX,STK,HKD,1,Utilities
0005,HKEX,STK,HKD,1,Finance
0006,HKEX,STK,HKD,1,Utilities
0011,HKEX,STK,HKD,1,Real_Estate
0012,HKEX,STK,HKD,1,Real_Estate
0016,HKEX,STK,HKD,1,Real_Estate
0017,HKEX,STK,HKD,1,Real_Estate
0027,HKEX,STK,HKD,1,Entertainment
0066,HKEX,STK,HKD,1,Transport
0101,HKEX,STK,HKD,1,Real_Estate
0142,HKEX,STK,HKD,1,Real_Estate
0175,HKEX,STK,HKD,1,Automotive
0241,HKEX,STK,HKD,1,Technology
0267,HKEX,STK,HKD,1,Unknown
0268,HKEX,STK,HKD,1,Technology
0285,HKEX,STK,HKD,1,Unknown
0288,HKEX,STK,HKD,1,Consumer
0388,HKEX,STK,HKD,1,Finance
0669,HKEX,STK,HKD,1,Industrial
0688,HKEX,STK,HKD,1,Unknown
0691,HKEX,STK,HKD,1,Finance
0700,HKEX,STK,HKD,1,Technology
0762,HKEX,STK,HKD,1,Unknown
0823,HKEX,STK,HKD,1,Real_Estate
0857,HKEX,STK,HKD,1,Energy
0883,HKEX,STK,HKD,1,Energy
0909,HKEX,STK,HKD,1,Unknown
0939,HKEX,STK,HKD,1,Finance
0941,HKEX,STK,HKD,1,Telecom
0968,HKEX,STK,HKD,1,Energy
0981,HKEX,STK,HKD,1,Semiconductors
1024,HKEX,STK,HKD,1,Unknown
